rank	id	score	severity_hint	confidence_hint	category	rule	path	line	column	function	async	hot	loop	test	excerpt	message
1	C-e7a589768505337d4620	111	high	high	resource-exhaustion	rust-read-to-end	src/modes/injector.rs	1605	16	read_raw_http_response	1	1	1	0	stream.read_to_end(&mut response).await.unwrap();	Read-to-end can allocate until EOF unless a hard byte limit is enforced upstream.
2	C-a0e80f9acc573f4520aa	103	high	high	concurrency	rust-blocking-sleep	src/ebpf/loader.rs	881	21	connect4_redirects_a_real_captured_connection_to_the_capture_port	0	1	1	0	std::thread::sleep(Duration::from_millis(25));	Blocking sleep can monopolize an executor worker when called from async code.
3	C-a4a7302b65217b6d7589	103	high	high	resource-exhaustion	rust-unbounded-channel	src/identity/workload_api/server.rs	368	47	fetch_x509svid	1	0	1	0	let (tx, out_rx) = tokio::sync::mpsc::unbounded_channel();	Unbounded channel permits producer traffic to retain memory without backpressure.
4	C-4daaeeb8282498194539	103	high	high	concurrency	rust-blocking-sleep	src/overload.rs	1513	13	measure_event_loop_latency_detects_saturated_workers	1	0	1	0	std::thread::sleep(Duration::from_millis(POST_SIGNAL_GRACE_MS));	Blocking sleep can monopolize an executor worker when called from async code.
5	C-3a423d6f12a26d7865f0	103	high	high	concurrency	rust-blocking-sleep	src/overload.rs	1525	17	measure_event_loop_latency_detects_saturated_workers	1	0	1	0	std::thread::sleep(Duration::from_millis(SLEEP_MS));	Blocking sleep can monopolize an executor worker when called from async code.
6	C-eda2d814ff1b62501e63	103	high	high	concurrency	rust-blocking-sleep	src/proxy/mesh_udp_capture.rs	2683	13	captured_udp_recovers_pre_tproxy_destination	0	1	1	0	std::thread::sleep(Duration::from_millis(50));	Blocking sleep can monopolize an executor worker when called from async code.
7	C-9c576983769cd72d9674	103	high	high	concurrency	rust-blocking-sleep	src/proxy/mesh_udp_capture.rs	2776	25	captured_udp_recovers_pre_tproxy_destination	0	1	1	0	std::thread::sleep(Duration::from_millis(20));	Blocking sleep can monopolize an executor worker when called from async code.
8	C-e544230c6660fcf2ea96	103	high	high	concurrency	rust-blocking-sleep	src/proxy/netns_capture.rs	1731	21	assert_accepts_loopback	0	1	1	0	std::thread::sleep(Duration::from_millis(20));	Blocking sleep can monopolize an executor worker when called from async code.
9	C-90086cb40fb33d50ac6c	103	high	high	concurrency	rust-blocking-sleep	src/socket_opts.rs	3261	13	redirected_connection_reports_pre_nat_destination	0	1	1	0	std::thread::sleep(Duration::from_millis(50));	Blocking sleep can monopolize an executor worker when called from async code.
10	C-da11152d3babf9c09233	101	high	medium	resource-exhaustion	rust-body-collect	src/admin/api_specs/handlers.rs	2876	22	handle_post_api_spec	1	1	1	0	let body = match collect_body(req, max_mib).await {	Whole-body/materializing collection needs an independently enforced byte cap.
11	C-e8cf5fc2e14a35d6f89e	101	high	medium	resource-exhaustion	rust-body-collect	src/admin/api_specs/handlers.rs	3529	10	handle_delete_api_spec	1	1	1	0	.collect::<Vec<_>>();	Whole-body/materializing collection needs an independently enforced byte cap.
12	C-62b73b5a83d7d9a56a74	101	high	medium	resource-exhaustion	rust-body-collect	src/config/db_loader.rs	1866	18	load_proxy_plugin_associations_for_proxy_ids_from_pool	1	1	1	0	.collect::<Vec<_>>()	Whole-body/materializing collection needs an independently enforced byte cap.
13	C-fc7eb0891ad8bc148571	101	high	medium	concurrency	rust-arc-swap-store	src/identity/ca/spire.rs	240	40	stream_loop	1	1	1	0	current.store(Arc::new(Some(snapshot)));	Blind ArcSwap store can lose concurrent updates when derived from a stale snapshot.
14	C-006c445a0fbeebe7c80d	101	high	medium	concurrency	rust-blocking-command	src/modes/node_agent.rs	5517	31	execute_iptables_commands	1	1	1	0	"match tokio::process::Command::new(""sh"")"	Child-process launch is blocking and needs timeout, output cap, and argument provenance review.
